"Draw","Date","Winning_Number_1","Winning_Number_2","Winning_Number_3","Winning_Number_4","Winning_Number_5","Winning_Number_6","Additional_Number_","From_Last","Odd","Even","_1-10","_11-20","_21-30","_31-40","_41-50","Division_1_Winners","Division_1_Prize","Division_2_Winners","Division_2_Prize","Division_3_Winners","Division_3_Prize","Division_4_Winners","Division_4_Prize","Division_5_Winners","Division_5_Prize","Division_6_Winners","Division_6_Prize","Division_7_Winners","Division_7_Prize","division_1_total_amount","division_2_total_amount","division_3_total_amount","division_4_total_amount","division_5_total_amount","division_6_total_amount","division_7_total_amount","number_of_winners","total_amount_given"
"3707","25/10/2021","4","18","24","40","43","47","48","43","2","4","1","1","1","1","2","0","0","1","591737","110","2273","308","443","6344","50","8744","25","121688","10","0","591737","250030","136444","317200","218600","1216880","137195","2730891"
"3706","21/10/2021","7","22","23","25","42","43","18","23","4","2","1","0","3","0","2","0","0","0","0","97","1618","222","386","4758","50","6356","25","86642","10","0","0","156946","85692","237900","158900","866420","98075","1505858"
"3705","18/10/2021","5","23","24","27","44","49","26","24","4","2","1","0","3","0","2","2","5311505","13","85912","433","1774","1172","358","23344","50","32714","25","435069","10","10623010","1116856","768142","419576","1167200","817850","4350690","492747","19263324"
"3704","14/10/2021","10","15","16","24","45","47","19","10","3","3","1","2","1","0","2","0","0","1","542769","200","1866","537","380","10193","50","15011","25","194075","10","0","542769","373200","204060","509650","375275","1940750","220017","3945704"
"3703","11/10/2021","10","26","27","36","37","43","42","27","3","3","1","0","2","2","1","0","0","3","112326","122","1899","283","447","6278","50","8379","25","117929","10","0","336978","231678","126501","313900","209475","1179290","132994","2397822"
"3702","7/10/2021","1","27","28","39","40","49","33","28,40","4","2","1","0","2","2","1","0","0","3","79941","87","1896","149","604","3723","50","4978","25","73922","10","0","239823","164952","89996","186150","124450","739220","82862","1544591"
"3701","4/10/2021","10","14","28","30","35","40","6","14,30","1","5","1","1","2","2","0","1","1187156","3","83310","99","1736","266","353","5204","50","7728","25","92549","10","1187156","249930","171864","93898","260200","193200","925490","105850","3081738"
"3700","30/9/2021","5","8","14","26","30","44","47","44","1","5","2","1","2","0","1","1","2691213","2","162327","159","1404","320","381","8610","50","8227","25","152557","10","2691213","324654","223236","121920","430500","205675","1525570","169876","5522768"
"3699","27/9/2021","20","28","33","38","40","44","49","44","1","5","0","1","1","3","1","0","0","1","241919","60","2772","135","672","4068","50","5144","25","81524","10","0","241919","166320","90720","203400","128600","815240","90932","1646199"
"3698","23/9/2021","9","35","41","42","43","44","29","","4","2","1","0","0","1","4","2","2658290","1","543104","254","1471","578","353","10763","50","13497","25","183584","10","5316580","543104","373634","204034","538150","337425","1835840","208679","9148767"
"3697","20/9/2021","3","6","10","16","33","49","1","10","3","3","3","1","0","1","1","0","0","2","169765","129","1810","512","249","7400","50","14268","25","139019","10","0","339530","233490","127488","370000","356700","1390190","161330","2817398"
"3696","16/9/2021","9","10","15","30","38","48","2","","2","4","2","1","1","1","1","0","0","1","236648","69","2358","257","346","5509","50","8102","25","103275","10","0","236648","162702","88922","275450","202550","1032750","117213","1999022"
"3695","13/9/2021","6","25","26","41","42","44","37","42","2","4","1","0","2","0","3","1","2770889","2","170168","101","2317","235","544","5810","50","7499","25","114428","10","2770889","340336","234017","127840","290500","187475","1144280","128076","5095337"
"3694","9/9/2021","5","19","30","33","37","42","38","33","4","2","1","1","1","2","1","0","0","1","243010","64","2611","193","473","4449","50","5867","25","83213","10","0","243010","167104","91289","222450","146675","832130","93787","1702658"
"3693","6/9/2021","1","15","31","32","33","44","20","","4","2","1","1","0","3","1","1","1213578","1","255491","82","2143","202","475","5126","50","6603","25","92043","10","1213578","255491","175726","95950","256300","165075","920430","104058","3082550"
"3692","2/9/2021","3","4","6","10","19","42","34","19","2","4","4","1","0","0","1","1","1118709","1","235518","148","1095","238","372","7333","50","6332","25","121898","10","1118709","235518","162060","88536","366650","158300","1218980","135951","3348753"
"3691","30/8/2021","19","23","24","27","36","37","17","24,37","4","2","0","1","3","2","0","2","1437544","5","121057","125","2013","341","403","7439","50","11316","25","134571","10","2875088","605285","251625","137423","371950","282900","1345710","153799","5869981"
"3690","26/8/2021","5","18","24","37","38","49","35","5","3","3","1","1","1","2","1","0","0","0","0","87","1892","175","513","4043","50","5493","25","80576","10","0","0","164604","89775","202150","137325","805760","90374","1399614"
