"Draw","Date","Grouping","Number_of_winners","Prize_money"
"3216","21/11/2016","Group 1","1","2455190"
"3215","17/11/2016","Group 1","0","0"
"3214","14/11/2016","Group 1","0","0"
"3213","10/11/2016","Group 1","0","0"
"3212","7/11/2016","Group 1","0","0"
"3211","3/11/2016","Group 1","0","0"
"3210","31/10/2016","Group 1","1","2446298"
"3209","27/10/2016","Group 1","0","0"
"3208","24/10/2016","Group 1","2","1249879"
"3207","20/10/2016","Group 1","0","0"
"3206","17/10/2016","Group 1","2","2375063"
"3205","13/10/2016","Group 1","0","0"
"3204","10/10/2016","Group 1","0","0"
"3203","6/10/2016","Group 1","0","0"
"3202","3/10/2016","Group 1","0","0"
"3201","29/9/2016","Group 1","0","0"
"3200","26/9/2016","Group 1","0","0"
"3199","22/9/2016","Group 1","1","7884082"
"3198","19/9/2016","Group 1","0","0"
"3197","15/9/2016","Group 1","0","0"
"3196","12/9/2016","Group 1","0","0"
"3195","8/9/2016","Group 1","2","2257276"
"3194","5/9/2016","Group 1","0","0"
"3193","1/9/2016","Group 1","0","0"
"3192","29/8/2016","Group 1","1","2635787"
"3191","25/8/2016","Group 1","0","0"
"3190","22/8/2016","Group 1","1","1227949"
"3189","18/8/2016","Group 1","0","0"
"3188","15/8/2016","Group 1","0","0"
"3187","11/8/2016","Group 1","0","0"
"3186","8/8/2016","Group 1","0","0"
"3185","4/8/2016","Group 1","1","2515240"
"3184","1/8/2016","Group 1","0","0"
"3183","28/7/2016","Group 1","1","4415209"
"3182","25/7/2016","Group 1","0","0"
"3181","21/7/2016","Group 1","0","0"
"3180","18/7/2016","Group 1","1","4497222"
"3179","14/7/2016","Group 1","0","0"
"3178","11/7/2016","Group 1","0","0"
"3177","7/7/2016","Group 1","1","2504631"
"3176","4/7/2016","Group 1","0","0"
"3175","30/6/2016","Group 1","1","4428208"
"3174","27/6/2016","Group 1","0","0"
"3173","23/6/2016","Group 1","0","0"
"3172","20/6/2016","Group 1","2","1238973"
"3171","16/6/2016","Group 1","0","0"
"3170","13/6/2016","Group 1","2","1269404"
"3169","9/6/2016","Group 1","0","0"
"3168","6/6/2016","Group 1","2","3943722"
"3167","2/6/2016","Group 1","0","0"
"3166","30/5/2016","Group 1","0","0"
"3165","26/5/2016","Group 1","0","0"
"3164","23/5/2016","Group 1","1","2499459"
"3163","19/5/2016","Group 1","0","0"
"3162","16/5/2016","Group 1","1","8045163"
"3161","12/5/2016","Group 1","0","0"
"3160","9/5/2016","Group 1","0","0"
"3159","5/5/2016","Group 1","0","0"
"3158","2/5/2016","Group 1","5","222182"
