"Draw","Date","type","VALUE"
"3175","30/6/2016","winning","11"
"3174","27/6/2016","winning","1"
"3173","23/6/2016","winning","1"
"3172","20/6/2016","winning","4"
"3171","16/6/2016","winning","5"
"3170","13/6/2016","winning","6"
"3169","9/6/2016","winning","12"
"3168","6/6/2016","winning","2"
"3167","2/6/2016","winning","1"
"3166","30/5/2016","winning","8"
"3165","26/5/2016","winning","7"
"3164","23/5/2016","winning","7"
"3163","19/5/2016","winning","2"
"3162","16/5/2016","winning","1"
"3161","12/5/2016","winning","1"
"3160","9/5/2016","winning","1"
"3159","5/5/2016","winning","9"
"3158","2/5/2016","winning","6"
"3157","28/4/2016","winning","3"
"3156","25/4/2016","winning","1"
"3155","21/4/2016","winning","13"
"3154","18/4/2016","winning","11"
"3153","14/4/2016","winning","3"
"3152","11/4/2016","winning","9"
"3151","7/4/2016","winning","1"
"3150","4/4/2016","winning","10"
"3149","31/3/2016","winning","20"
"3148","28/3/2016","winning","8"
"3147","24/3/2016","winning","4"
"3146","21/3/2016","winning","8"
"3145","17/3/2016","winning","2"
"3144","14/3/2016","winning","8"
"3143","10/3/2016","winning","25"
"3142","7/3/2016","winning","9"
"3141","3/3/2016","winning","6"
"3140","29/2/2016","winning","8"
"3139","25/2/2016","winning","7"
"3138","22/2/2016","winning","10"
"3137","19/2/2016","winning","16"
"3136","15/2/2016","winning","3"
"3135","11/2/2016","winning","7"
"3134","8/2/2016","winning","13"
"3133","4/2/2016","winning","2"
"3132","1/2/2016","winning","9"
"3131","28/1/2016","winning","4"
"3130","25/1/2016","winning","16"
"3129","21/1/2016","winning","2"
"3128","18/1/2016","winning","4"
"3127","14/1/2016","winning","1"
"3126","11/1/2016","winning","13"
"3125","7/1/2016","winning","3"
"3124","4/1/2016","winning","3"
"3123","31/12/2015","winning","9"
"3122","28/12/2015","winning","7"
"3121","24/12/2015","winning","10"
"3120","21/12/2015","winning","11"
"3119","17/12/2015","winning","2"
"3118","14/12/2015","winning","6"
"3117","10/12/2015","winning","4"
"3116","7/12/2015","winning","5"
"3115","3/12/2015","winning","17"
"3114","30/11/2015","winning","11"
"3113","26/11/2015","winning","2"
"3112","23/11/2015","winning","5"
"3111","19/11/2015","winning","1"
"3110","16/11/2015","winning","3"
"3109","12/11/2015","winning","8"
"3108","9/11/2015","winning","3"
"3107","5/11/2015","winning","2"
"3106","2/11/2015","winning","1"
"3105","29/10/2015","winning","7"
"3104","26/10/2015","winning","1"
"3103","22/10/2015","winning","5"
"3102","19/10/2015","winning","10"
"3101","15/10/2015","winning","7"
"3100","12/10/2015","winning","6"
"3099","8/10/2015","winning","6"
"3098","5/10/2015","winning","1"
"3097","1/10/2015","winning","3"
"3096","28/9/2015","winning","12"
"3095","24/9/2015","winning","8"
"3094","21/9/2015","winning","8"
"3093","17/9/2015","winning","5"
"3092","14/9/2015","winning","3"
"3091","10/9/2015","winning","27"
"3090","7/9/2015","winning","1"
"3089","3/9/2015","winning","1"
"3088","31/8/2015","winning","5"
"3087","27/8/2015","winning","13"
"3086","24/8/2015","winning","5"
"3085","20/8/2015","winning","3"
"3084","17/8/2015","winning","2"
"3083","13/8/2015","winning","8"
"3082","10/8/2015","winning","6"
"3081","6/8/2015","winning","11"
"3080","3/8/2015","winning","18"
"3079","30/7/2015","winning","2"
"3078","27/7/2015","winning","6"
"3077","23/7/2015","winning","4"
"3076","20/7/2015","winning","3"
"3075","16/7/2015","winning","2"
"3074","13/7/2015","winning","31"
"3073","9/7/2015","winning","5"
"3072","6/7/2015","winning","1"
"3071","2/7/2015","winning","7"
"3070","29/6/2015","winning","2"
"3069","25/6/2015","winning","14"
"3068","22/6/2015","winning","3"
"3067","18/6/2015","winning","5"
"3066","15/6/2015","winning","9"
"3065","11/6/2015","winning","7"
"3064","8/6/2015","winning","20"
"3063","4/6/2015","winning","3"
"3062","1/6/2015","winning","5"
"3061","28/5/2015","winning","5"
"3060","25/5/2015","winning","13"
"3059","21/5/2015","winning","6"
"3058","18/5/2015","winning","17"
"3057","14/5/2015","winning","8"
"3056","11/5/2015","winning","3"
"3055","7/5/2015","winning","8"
"3054","4/5/2015","winning","6"
"3053","30/4/2015","winning","18"
"3052","27/4/2015","winning","2"
"3051","23/4/2015","winning","1"
"3050","20/4/2015","winning","9"
"3049","16/4/2015","winning","3"
"3048","13/4/2015","winning","6"
"3047","9/4/2015","winning","6"
"3046","6/4/2015","winning","3"
"3045","2/4/2015","winning","11"
"3044","30/3/2015","winning","11"
"3043","26/3/2015","winning","5"
"3042","23/3/2015","winning","1"
"3041","19/3/2015","winning","3"
"3040","16/3/2015","winning","7"
"3039","12/3/2015","winning","14"
"3038","9/3/2015","winning","9"
"3037","5/3/2015","winning","5"
"3036","2/3/2015","winning","7"
"3035","27/2/2015","winning","2"
"3034","23/2/2015","winning","1"
"3033","19/2/2015","winning","2"
"3032","16/2/2015","winning","19"
"3031","12/2/2015","winning","12"
"3030","9/2/2015","winning","4"
"3029","5/2/2015","winning","8"
"3028","2/2/2015","winning","8"
"3027","29/1/2015","winning","6"
"3026","26/1/2015","winning","6"
"3025","22/1/2015","winning","5"
"3024","19/1/2015","winning","21"
"3023","15/1/2015","winning","2"
"3022","12/1/2015","winning","25"
"3021","8/1/2015","winning","5"
"3020","5/1/2015","winning","1"
"3019","1/1/2015","winning","1"
"3018","29/12/2014","winning","1"
"3017","25/12/2014","winning","1"
"3016","22/12/2014","winning","5"
"3015","18/12/2014","winning","9"
"3014","15/12/2014","winning","5"
"3013","11/12/2014","winning","19"
"3012","8/12/2014","winning","17"
"3011","4/12/2014","winning","10"
"3010","1/12/2014","winning","1"
"3009","27/11/2014","winning","5"
"3008","24/11/2014","winning","4"
"3007","20/11/2014","winning","2"
"3006","17/11/2014","winning","2"
"3005","13/11/2014","winning","9"
"3004","10/11/2014","winning","2"
"3003","6/11/2014","winning","2"
"3002","3/11/2014","winning","31"
"3001","30/10/2014","winning","12"
"3000","27/10/2014","winning","5"
"2999","23/10/2014","winning","5"
"2998","20/10/2014","winning","8"
"2997","16/10/2014","winning","4"
"2996","13/10/2014","winning","19"
"2995","9/10/2014","winning","11"
"2994","6/10/2014","winning","5"
"2993","2/10/2014","winning","1"
"2992","29/9/2014","winning","8"
"2991","25/9/2014","winning","12"
"2990","22/9/2014","winning","9"
"2989","18/9/2014","winning","2"
"2988","15/9/2014","winning","5"
"2987","11/9/2014","winning","2"
"2986","8/9/2014","winning","3"
"2985","4/9/2014","winning","15"
"2984","1/9/2014","winning","4"
"2983","28/8/2014","winning","13"
"2982","25/8/2014","winning","10"
"2981","21/8/2014","winning","3"
"2980","18/8/2014","winning","16"
"2979","14/8/2014","winning","15"
"2978","11/8/2014","winning","1"
"2977","7/8/2014","winning","3"
"2976","4/8/2014","winning","3"
"2975","1/8/2014","winning","3"
"2974","28/7/2014","winning","11"
"2973","24/7/2014","winning","1"
"2972","21/7/2014","winning","21"
"2971","17/7/2014","winning","6"
"2970","14/7/2014","winning","2"
"2969","10/7/2014","winning","5"
"2968","7/7/2014","winning","9"
"2967","3/7/2014","winning","8"
"2966","30/6/2014","winning","2"
"2965","26/6/2014","winning","17"
"2964","23/6/2014","winning","4"
"2963","19/6/2014","winning","4"
"2962","16/6/2014","winning","1"
"2961","12/6/2014","winning","8"
"2960","9/6/2014","winning","10"
"2959","5/6/2014","winning","11"
"2958","2/6/2014","winning","9"
"2957","29/5/2014","winning","17"
"2956","26/5/2014","winning","8"
"2955","23/5/2014","winning","1"
"2954","19/5/2014","winning","5"
"2953","15/5/2014","winning","5"
"2952","12/5/2014","winning","2"
"2951","8/5/2014","winning","1"
"2950","5/5/2014","winning","4"
"2949","1/5/2014","winning","6"
